Event,Year,Week,Start Date,End Date
Martin Luther is excommunicated on January 3,1521,1,12/29/2024,1/4/2025
Georgia enters the Union on February 2,1788,1,12/29/2024,1/4/2025
The Australian colonies federate on January 1,1901,1,12/29/2024,1/4/2025
Top officials in Nixon administration guilty in Watergate trial on January 1,1975,1,12/29/2024,1/4/2025
New Years’ Eve terrorist attack takes place in New Orleans on January 1,2025,1,12/29/2024,1/4/2025
Thomas Paine publishes “Common Sense” on January 10,1776,2,1/5/2025,1/11/2025
Treaty of Versailles takes effect on January 10,1920,2,1/5/2025,1/11/2025
Elvis Presley receives his first guitar on January 8,1946,2,1/5/2025,1/11/2025
Soviet Union launches Soyuz 17 space mission on January 11,1975,2,1/5/2025,1/11/2025
Insurrection at the US Capitol takes place on January 6,2021,2,1/5/2025,1/11/2025
Joseph Smith flees Ohio on January 12,1838,3,1/12/2025,1/18/2025
The Unification of Saudi Arabia begins on January 13,1902,3,1/12/2025,1/18/2025
Prohibition is ratified by the states on January 16,1919,3,1/12/2025,1/18/2025
Martin Luther King Jr. is born on January 15,1929,3,1/12/2025,1/18/2025
USSR begins boycott of United Nations on January 13,1950,3,1/12/2025,1/18/2025
First Winter Olympics begins on January 25,1924,4,1/19/2025,1/25/2025
FDR is inaugurated for the second time on January 20,1937,4,1/19/2025,1/25/2025
Marvin Gaye’s hit single “What’s Going On?” is released on January 20,1971,4,1/19/2025,1/25/2025
Roe v. Wade is decided on January 22,1973,4,1/19/2025,1/25/2025
Larry Nassar is sentenced to prison for sexual assault on January 24,2018,4,1/19/2025,1/25/2025
Auschwitz is liberated on January 27,1945,5,1/26/2025,2/1/2025
Truman orders development of the H-bomb on January 31,1950,5,1/26/2025,2/1/2025
"Explorer I, the first American satellite, is launched on January 31",1958,5,1/26/2025,2/1/2025
Greensboro sit-in begins on February 1,1960,5,1/26/2025,2/1/2025
The Challenger explodes 73 seconds into its flight on January 28,1986,5,1/26/2025,2/1/2025
"Mary, Queen of Scots is beheaded on February 8",1587,6,2/2/2025,2/8/2025
Laura Ingalls Wilder is born on February 7,1867,6,2/2/2025,2/8/2025
First Groundhog Day takes place on February 2,1887,6,2/2/2025,2/8/2025
Slavery abolished in Nepal on February 6,1925,6,2/2/2025,2/8/2025
"Buddy Holly, Ritchie Valens, and “The Big Bopper” die in plane crash on February 3",1959,6,2/2/2025,2/8/2025
Frederick Douglass is born on February 14,1818,7,2/9/2025,2/15/2025
Last emperor of China abdicates on February 12,1912,7,2/9/2025,2/15/2025
Disney’s “Cinderella” opens in theaters on February 15,1950,7,2/9/2025,2/15/2025
Margaret Thatcher becomes leader of UK conservative party on February 11,1975,7,2/9/2025,2/15/2025
World chess champion Garry Kasparov loses game to computer on February 10,1996,7,2/9/2025,2/15/2025
Donner Party rescued from the Sierra Nevada Mountains on February 19,1847,8,2/16/2025,2/22/2025
Mark Twain publishes “The Adventures of Huckleberry Finn” on February 18,1885,8,2/16/2025,2/22/2025
Egypt and Israel agree to armistice line for Gaza border on February 22,1950,8,2/16/2025,2/22/2025
Malcom X is assassinated on February 21,1965,8,2/16/2025,2/22/2025
First 911 call is placed in the United States,1968,8,2/16/2025,2/22/2025
The first Mardi Gras celebrations are held in New Orleans on February 27,1827,9,2/23/2025,3/1/2025
Ulysses S. Grant establishes Yellowstone as first National Park on March 1,1872,9,2/23/2025,3/1/2025
Hitler gives first public speech since release from prison on February 27,1925,9,2/23/2025,3/1/2025
Chemical structure of DNA is discovered on February 28,1953,9,2/23/2025,3/1/2025
World Trade Center is bombed on February 26,1993,9,2/23/2025,3/1/2025
A siege at the Alamo takes place in the Texas War for Independence on March 6,1836,10,3/2/2025,3/8/2025
The invention of the telephone on March 7,1876,10,3/2/2025,3/8/2025
William Howard Taft is inaugurated as 27th president on March 4,1909,10,3/2/2025,3/8/2025
Bolshevik Revolution begins on March 8,1917,10,3/2/2025,3/8/2025
“People” magazine launches on March 4,1974,10,3/2/2025,3/8/2025
Czar Alexander II is assassinated in St. Petersburg on March 13,1881,11,3/9/2025,3/15/2025
FDR broadcasts first ‘fireside chat’ on March 12,1933,11,3/9/2025,3/15/2025
The Barbie doll makes its debut on March 9,1959,11,3/9/2025,3/15/2025
The Fukushima nuclear disaster takes place on March 11,2011,11,3/9/2025,3/15/2025
Trump administration declares a nationwide emergency due to COVID-19 on March 13,2020,11,3/9/2025,3/15/2025
Stamp Act is imposed on American colonies,1765,12,3/16/2025,3/22/2025
US Military Academy is established on March 16,1802,12,3/16/2025,3/22/2025
Wells and Fargo start shipping and banking company on March 18,1852,12,3/16/2025,3/22/2025
Belgian government collapses following referendum on monarchy on March 18,1950,12,3/16/2025,3/22/2025
